,title,budget,production_companies,popularity,imdb_score,names
88,The Imitation Game,8516,"Bristol Automotive, Black Bear Pictures, The Weinstein Company, FilmNation Entertainment",47.491,4.34,Bangka: Days After The Sun Stopped Shining
89,Bohemian Rhapsody,8332,"GK Films, Regency Enterprises, Queen Films, Tribeca Productions, New Regency Pictures, 20th Century Fox",37.55,7.42,Seasons
90,The Green Mile,5344,"Castle Rock Entertainment, Darkwoods Productions, Warner Bros. Pictures, PolyGram Filmed Entertainment",83.739,5.23,Perversión
91,The Maze Runner,2786,"Ingenious Media, Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",83.206,4.57,De Club van Sinterklaas & Het Pratende Paard
92,The Hangover,2942,"Legendary Pictures, Green Hat Films, Warner Bros. Pictures",72.655,5.2,The Gangbang Girl 30
93,Shrek,4971,"DreamWorks Pictures, Pacific Data Images, DreamWorks Animation",94.456,5.39,Mafia of the Law
94,Ratatouille,8461,"Pixar, Walt Disney Pictures",82.488,4.22,The Ultimate Fighter 7 Finale
95,Kingsman: The Secret Service,7217,"20th Century Fox, Marv Films, Cloudy Productions, TSG Entertainment",56.288,8.82,Do the World Darts 5
96,La La Land,6257,"Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, Lionsgate",32.009,3.05,The History of Mr Polly
97,Frozen,3701,"Walt Disney Pictures, Walt Disney Animation Studios",85.794,8.57,Child's Play
98,Dunkirk,5467,"Warner Bros. Pictures, Syncopy, RatPac Entertainment",34.529,2.87,Formentor: el mar de las palabras
99,Zootopia,3862,"Walt Disney Animation Studios, Walt Disney Pictures",98.11,4.2,Faustina: Love and Mercy
100,Lucy,2149,"EuropaCorp, Canal+, Ciné+, TF1 Films Production",33.913,1.32,The Man Inside
101,Jurassic Park,9700,"Universal Pictures, Amblin Entertainment",24.213,4.14,Without Hope
102,The Silence of the Lambs,7322,"Orion Pictures, Strong Heart/Demme Production",9.119,7.45,Une sieste
103,Beauty and the Beast,7667,"Walt Disney Pictures, Mandeville Films",56.226,1.14,Un lontano parente di Indiana Jones
104,Pirates of the Caribbean: Dead Man's Chest,7118,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",69.403,1.29,A Cold Beauty Painted Without My Heart
105,Big Hero 6,4271,"Walt Disney Pictures, Walt Disney Animation Studios",98.41,9.52,The Sea Beast
106,Now You See Me,6840,"Summit Entertainment, K/O Paper Products, SOIXAN7E QUIN5E, See Me Louisiana",45.241,6.07,Mules and Gob Talk
107,The Hunger Games: Mockingjay - Part 1,7732,"Lionsgate, Color Force",85.889,3.49,The God of Cookery
108,Venom,5671,"Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions",48.649,7.25,A Chinese Odyssey Part Three
109,The Prestige,3199,"Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy",48.832,5.77,Aviv Geffen: Arad 1994
110,I Am Legend,8730,"Village Roadshow Pictures, Weed Road Pictures, Original Film, Warner Bros. Pictures, Heyday Films, Overbrook Entertainment",59.815,3.99,Viva Violetta
111,Saving Private Ryan,312,"Paramount, Amblin Entertainment, Mutual Film Company, DreamWorks Pictures, The Mark Gordon Company",59.745,6.47,Loneliness
112,Captain Marvel,3171,Marvel Studios,50.399,4.89,Reseeding Air
113,Baby Driver,527,"Big Talk Productions, Working Title Films",44.974,2.94,Bompton Had A Dream
114,Schindler's List,5725,Amblin Entertainment,65.084,5.31,How the Donkey Tries to Find Happiness
115,Spider-Man: Far From Home,7987,"Marvel Studios, Pascal Pictures, Columbia Pictures",49.913,1.12,Hors d'oeuvre
116,Skyfall,2914,"Metro-Goldwyn-Mayer, Eon Productions, Danjaq, Columbia Pictures",33.456,8.68,決闘不動坂の大仇討
117,Gravity,4473,"Esperanto Filmoj, Warner Bros. Pictures, Heyday Films",31.024,6.35,La licenciada blindada
118,X-Men: Days of Future Past,3204,"Bad Hat Harry Productions, The Donners' Company, Simon Kinberg Productions, 20th Century Fox",60.194,8.34,Black Dick Tryouts 2
119,Ready Player One,4815,"Amblin Entertainment, De Line Pictures, Warner Bros. Pictures, Farah Films & Management, Village Roadshow Pictures, Access Entertainment",50.088,8.49,Double Tap
120,World War Z,7354,"GK Films, Paramount, Hemisphere Media Capital, 2DUX², Apparatus Productions, Latina Pictures, Skydance, Plan B Entertainment",55.042,1.51,ナオト・インティライミ冒険記 旅歌ダイアリー
121,Catch Me If You Can,7323,"Parkes/MacDonald Productions, Kemp Company, Splendid Pictures",44.814,6.33,Mehmet Ali Ağca: Gerçek Kurtlar Vadisi
122,Man of Steel,4670,"DC Entertainment, Syncopy, Peters Entertainment, Warner Bros. Pictures",44.96,2.01,Nyosha
123,Despicable Me,9973,"Illumination, Universal Pictures",47.416,1.64,Journey Through Rosebud
124,Spider-Man 2,8576,"Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",24.172,8.46,The Beaver
125,Spider-Man: Into the Spider-Verse,1037,"Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions",80.675,9.74,Kalle Sändare - busringningens mästare
126,Charlie and the Chocolate Factory,3686,"The Zanuck Company, Theobald Film Productions, Plan B Entertainment",60.854,8.43,Art From Art
127,Whiplash,4759,"Bold Films, Blumhouse Productions, Right of Way Films, Sierra/Affinity, Stage 6 Films, Sony Pictures Classics",54.495,2.35,Written Down
128,The Departed,6373,"Vertigo Entertainment, Media Asia Films, Initial Entertainment Group, Warner Bros. Pictures, Plan B Entertainment",42.503,4.24,The Highway Queen
129,The Grand Budapest Hotel,6504,"Fox Searchlight Pictures, Scott Rudin Productions, Studio Babelsberg, Indian Paintbrush, TSG Entertainment, American Empirical Pictures",33.966,3.11,First Person Singular: I.M. Pei
130,Toy Story 3,9308,"Pixar, Walt Disney Pictures",69.145,7.47,L'Enigme Charles Boyer
131,Memento,9326,"Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions",31.795,9.53,Mere Sajana Saath Nibhana
132,Eternal Sunshine of the Spotless Mind,8839,"Focus Features, Anonymous Content, This Is That Productions",54.124,1.19,Pankararu de Brejo dos Padres
133,Black Swan,965,"Fox Searchlight Pictures, Cross Creek Pictures, Protozoa Pictures, Phoenix Pictures",34.932,3.04,Magnificent Bakya
134,V for Vendetta,6250,"Studio Babelsberg, Virtual Studios, Anarchos Productions, Silver Pictures, Fünfte Babelsberg Film, Warner Bros. Pictures, DC Comics, Medienboard Berlin-Brandenburg",42.174,4.34,Face Value
135,Star Wars: Episode I - The Phantom Menace,4549,Lucasfilm Ltd.,46.845,5.15,Alpine Dance: Tranquil World - Relaxation with Music & Nature
136,Her,6203,"Annapurna Pictures, Warner Bros. Pictures, Stage 6 Films",37.608,4.12,Mutant Tiger
137,Pirates of the Caribbean: At World's End,5453,"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",81.883,2.63,The Last March
138,The Hobbit: The Battle of the Five Armies,3322,"Warner Bros. Pictures, WingNut Films, New Line Cinema, 3Foot7, Metro-Goldwyn-Mayer",94.048,4.93,Centralia Fire
139,Reservoir Dogs,9923,"Live Entertainment, Dog Eat Dog Productions",34.018,3.55,U.S.S. Metaphor
140,The Hateful Eight,3357,"The Weinstein Company, Double Feature Films, FilmColony",32.119,3.4,Awareness
141,Alien,9480,"Brandywine Productions, 20th Century Fox",72.767,3.57,Eleanor Morton: Lollipop
142,Sherlock Holmes,4792,"Warner Bros. Pictures, Village Roadshow Pictures, Silver Pictures, Wigram Productions, Internationale Filmproduktion Blackbird Dritte",35.808,7.38,Quadrophenia: Can You See the Real Me?
143,Alice in Wonderland,2437,"Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company",56.345,7.5,Black Cock Addiction 3
144,Pirates of the Caribbean: On Stranger Tides,6073,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company",79.192,2.23,Next Year in Jerusalem
145,Spider-Man 3,8509,"Laura Ziskin Productions, Marvel Studios, Columbia Pictures",61.149,2.89,The Night of Temptation
146,A Quiet Place,7749,"Paramount, Platinum Dunes",38.002,7.61,Old Men Young Whores
147,Aquaman,3545,"Warner Bros. Pictures, The Safran Company, DC Films",52.471,1.16,The Scariest Show on Television
148,Kill Bill: Vol. 2,3417,"Super Cool ManChu, Miramax, A Band Apart",37.053,1.88,Mexico 68 - 98
149,Cars,4439,"Pixar, Walt Disney Pictures",47.447,6.74,Plástico cruel
150,Toy Story 2,7333,Pixar,73.516,9.41,Rocks
151,Men in Black,2328,"Columbia Pictures, Amblin Entertainment, Parkes+MacDonald Image Nation",38.848,5.62,"Tool: [2002] San Diego, CA"
152,Edge of Tomorrow,4,"RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",51.408,3.89,The Bougainvillea and the Cinema
153,300,4116,"Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",44.918,9.63,There's No Sex Like Snow Sex
154,Jumanji: Welcome to the Jungle,7629,"Radar Pictures, Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures",26.669,7.5,It Takes All Kinds
155,Blade Runner,7474,"Shaw Brothers, The Ladd Company, Warner Bros. Pictures",56.798,5.66,Bittersweet
156,Star Wars: Episode III - Revenge of the Sith,7509,Lucasfilm Ltd.,41.215,5.65,Lucrezia Borgia
157,Hacksaw Ridge,6605,"Vendian Entertainment, Summit Entertainment, Cross Creek Pictures, IM Global, Screen Australia, Screen NSW, Permut Presentations, Pandemonium, Demarest Films, Lionsgate, Bliss Media, Kylin Pictures, AI Film",74.994,6.19,The Scrub
158,Twilight,6074,"Summit Entertainment, Temple Hill Entertainment, Maverick Films, Imprint Entertainment, Goldcrest, Twilight Productions",71.541,6.56,Pachchis
159,Brave,5147,"Walt Disney Pictures, Pixar",58.647,1.55,City Of Fathers
160,Ant-Man and the Wasp,7573,Marvel Studios,34.801,9.65,Johan Petit - Klein Jowanneke gaat dood
161,Maleficent,249,"Walt Disney Pictures, Roth Films",51.055,5.53,The Private Life of Toni Ribas
162,Passengers,140,"Wanda Pictures, Columbia Pictures, Village Roadshow Pictures, Original Film, Company Films, Start Motion Pictures, LStar Capital",27.272,1.67,Salome - Opernhaus Zurich
163,Life of Pi,5773,"Fox 2000 Pictures, Dune Entertainment, Ingenious Media, Haishang Films, Netter Productions, India Take One Productions",37.796,6.32,I can not complain
164,Ex Machina,4905,"DNA Films, Film4 Productions, IAC Films, Scott Rudin Productions",26.767,9.45,Father Figure
165,The Amazing Spider-Man 2,6745,"Marvel Entertainment, Columbia Pictures, Matt Tolmach Productions, Arad Productions",73.319,4.03,El día que me callé
166,Blade Runner 2049,605,"Torridon Films, 16:14 Entertainment, Scott Free Productions, Columbia Pictures, Alcon Entertainment, Thunderbird Entertainment, Warner Bros. Pictures",70.54,7.64,T-Girls Porn Vol. 2
167,Ice Age,5159,"20th Century Fox Animation, 20th Century Fox, Blue Sky Studios",70.773,6.15,When Thieves Fall Out
168,Star Wars: Episode II - Attack of the Clones,8035,Lucasfilm Ltd.,42.55,1.21,Farith
169,Justice League,6145,"RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films",91.091,4.69,潜入自縛霊地帯　そこに向かうは女性レポーターただ独り。
170,The Hobbit: The Desolation of Smaug,7364,"Warner Bros. Pictures, WingNut Films, New Line Cinema, Metro-Goldwyn-Mayer",70.03,2.47,East of Main Street: Part 2
171,X-Men: Apocalypse,2303,"The Donners' Company, Bad Hat Harry Productions, Genre Films, Hutch Parker Entertainment, 20th Century Fox",45.544,7.46,Canção de Baal
172,Birdman or (The Unexpected Virtue of Ignorance),8657,"TSG Entertainment, Worldview Entertainment, New Regency Pictures, M Productions, Le Grisbi Productions",43.866,5.96,Freddie Hubbard - All Blues
173,Divergent,9237,"Summit Entertainment, Red Wagon Entertainment",39.066,2.84,Healing Justice
174,American Sniper,2688,"RatPac Entertainment, Village Roadshow Pictures, 22 & Indiana Pictures, Malpaso Productions, Warner Bros. Pictures, Mad Chance",64.846,9.85,A Day on Treasure Island
175,How to Train Your Dragon,5788,"DreamWorks Animation, Paramount",54.176,3.59,The Worlds My Oyster
176,Incredibles 2,4217,"Walt Disney Pictures, Pixar",49.215,6.3,The Sensation And Pleasure Of Kimeseku That Runs Through The Body (It's Going Crazy) Ayaka Kawakita
177,Edward Scissorhands,240,20th Century Fox,37.283,4.69,Es war einmal
178,John Wick: Chapter 2,6694,"Thunder Road, 87Eleven, Summit Entertainment",88.285,3.69,'Blue Blazes' Rawden
179,A Clockwork Orange,650,"Warner Bros. Pictures, Hawk Films",38.323,9.78,Share My Boyfriend 18
180,The Curious Case of Benjamin Button,655,"Paramount, Warner Bros. Pictures, The Kennedy/Marshall Company",42.669,3.36,The New Protocol
181,The Terminator,134,"Orion Pictures, Pacific Western, Hemdale Film, Cinema 84, Euro Film Funding",44.969,4.49,Kino Kalye
182,Back to the Future Part II,7863,"Universal Pictures, Amblin Entertainment",30.516,3.34,At The Maple Grove
183,Terminator 2: Judgment Day,4381,"Lightstorm Entertainment, Carolco Pictures, Pacific Western, Le Studio Canal+",69.45,4.71,My Brave Young Man
184,GoodFellas,1353,Winkler Films,83.57,7.69,Mansfield K.
185,Drive,6330,"FilmDistrict, Bold Films, Marc Platt Productions, OddLot Entertainment, Motel Movies, Newbridge Film Capital",38.238,3.4,Thara
186,Pacific Rim,3659,"Double Dare You Productions, Legendary Pictures",55.847,5.51,The Eidolons of Edna
187,The Hunger Games: Mockingjay - Part 2,4997,"Lionsgate, Color Force, Studio Babelsberg",43.902,2.52,Shared Apartment
188,Wreck-It Ralph,1691,"Walt Disney Animation Studios, Walt Disney Pictures",46.617,7.36,Lig Stille
189,Donnie Darko,8489,"Flower Films, Gaylord Films, Adam Fields Productions, Pandora Cinema",38.016,2.02,National Geographic - Everest 50 Years on the Mountain
190,Ted,9652,"Universal Pictures, MRC, Fuzzy Door Productions, Bluegrass Films, Smart Entertainment",38.48,9.28,Vaghti hame Khab boodand
191,The Great Gatsby,9306,"Spectrum Films, Village Roadshow Pictures, Bazmark Films, Red Wagon Entertainment, Warner Bros. Pictures, A+E Studios",36.651,8.53,Nature
192,Moana,4790,"Walt Disney Pictures, Walt Disney Animation Studios, Hurwitz Creative",17.963,1.14,Zinat
193,The Shape of Water,3813,"Double Dare You Productions, Fox Searchlight Pictures, Bull Productions, TSG Entertainment",29.339,7.26,La Tueuse
194,Zombieland,6180,"Pariah, Columbia Pictures, Relativity Media",32.08,5.15,The Enchanted Hill
195,Finding Dory,7030,"Pixar, Walt Disney Pictures",26.562,2.76,Dream Screen
196,Me Before You,9548,"New Line Cinema, Sunswept Entertainment, Metro-Goldwyn-Mayer",79.741,8.94,Ages and Stages: The Story of the Meligrove Band
197,1917,2574,"DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners",44.356,3.87,Doom Breaker
198,Call Me by Your Name,2883,"La Cinéfacture, RT Features, Frenesy Film, Water's End Productions, M.Y.R.A. Entertainment, CineFinance Italia",32.15,8.71,La isla de las cabezas
199,Silver Linings Playbook,9543,The Weinstein Company,28.014,6.85,The Broken Melody
200,Shrek 2,9085,"DreamWorks Pictures, Pacific Data Images, DreamWorks Animation",82.153,8.11,En el Taller
201,2012,1814,"Columbia Pictures, Centropolis Entertainment, Farewell Productions, The Mark Gordon Company",51.914,6.69,Daimi Arama
202,The Godfather Part II,5444,"Paramount, The Coppola Company",64.753,5.03,Quine
203,American Beauty,2403,"Jinks/Cohen Company, DreamWorks Pictures",29.837,3.17,Anal Step Family Threesomes
204,Prometheus,4252,"Dune Entertainment, Scott Free Productions, Brandywine Productions, 20th Century Fox",60.299,9.36,Mädchen ohne Grenzen
205,The Social Network,6911,"Columbia Pictures, Relativity Media, Scott Rudin Productions, Michael De Luca Productions, Trigger Street Productions",36.101,1.77,Redeemed
206,Pirates of the Caribbean: Dead Men Tell No Tales,7236,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil",62.006,7.53,The Penguin Who Couldn’t Swim
207,Knives Out,45,"Lionsgate, MRC, T-Street Productions",39.064,9.02,Ane
208,Good Will Hunting,134,"Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership",56.169,5.13,Bienvenue chez les SOCCS
209,Fifty Shades of Grey,6143,"Focus Features, Michael De Luca Productions, Trigger Street Productions",96.283,9.45,Smekh v Temnote
210,The Devil Wears Prada,7779,"Fox 2000 Pictures, Dune Entertainment, Major Studio Partners, Peninsula Films, 20th Century Fox",50.84,3.64,Aatamin puvussa… ja vähän Eevankin
211,Taxi Driver,2709,"Italo/Judeo Productions, Bill/Phillips, Columbia Pictures",41.36,2.3,Ethumai Methumai
212,A Star Is Born,2204,"Thunder Road, 22 & Green, Gerber Pictures, Joint Effort, Malpaso Productions, Warner Bros. Pictures, Live Nation Productions",27.891,1.4,Inspiration
